timestamp,Open,High,Low,Close,Volume
2025-09-17 15:00:00,4489.84,4499.18,4482.03,4489.84,4436.47464
2025-09-17 16:00:00,4489.84,4492.48,4470.71,4487.32,4754.39494
2025-09-17 17:00:00,4487.32,4534.75,4430.0,4430.0,13146.78589
2025-09-17 18:00:00,4430.0,4523.89,4406.5,4456.44,44126.89415
2025-09-17 19:00:00,4456.44,4526.61,4454.25,4517.73,16487.98103
2025-09-17 20:00:00,4517.73,4541.37,4495.08,4501.66,8773.71493
2025-09-17 21:00:00,4501.66,4538.8,4486.5,4529.18,5935.66272
2025-09-17 22:00:00,4529.18,4601.9,4527.08,4587.46,12119.40571
2025-09-17 23:00:00,4587.46,4617.39,4581.64,4590.28,9400.9804
2025-09-18 00:00:00,4590.28,4609.79,4583.43,4585.09,6406.72801
2025-09-18 01:00:00,4585.09,4633.47,4580.04,4618.99,7764.95921
2025-09-18 02:00:00,4618.99,4620.0,4604.5,4613.67,6128.74111
2025-09-18 03:00:00,4613.67,4644.4,4608.93,4614.02,8356.00392
2025-09-18 04:00:00,4614.02,4619.99,4598.16,4611.8,4898.29486
2025-09-18 05:00:00,4611.8,4611.8,4584.84,4589.59,4145.50838
2025-09-18 06:00:00,4589.59,4594.25,4553.43,4571.31,12530.05572
2025-09-18 07:00:00,4571.31,4583.32,4571.12,4574.91,4468.56472
2025-09-18 08:00:00,4574.91,4607.59,4571.09,4602.3,5622.25039
2025-09-18 09:00:00,4602.3,4604.35,4589.58,4597.65,4474.83764
2025-09-18 10:00:00,4597.65,4601.29,4570.0,4574.68,5581.55174
2025-09-18 11:00:00,4574.68,4588.85,4567.95,4576.22,3578.5711
2025-09-18 12:00:00,4576.22,4588.28,4568.16,4570.58,4798.22579
2025-09-18 13:00:00,4570.58,4605.0,4558.34,4588.09,9377.03121
2025-09-18 14:00:00,4588.09,4625.28,4586.73,4596.03,13717.73622
2025-09-18 15:00:00,4596.03,4608.59,4586.72,4599.03,10086.26215
2025-09-18 16:00:00,4599.03,4636.23,4590.32,4621.25,9454.15796
2025-09-18 17:00:00,4621.25,4630.66,4596.32,4609.44,11007.26622
2025-09-18 18:00:00,4609.44,4623.2,4602.7,4618.33,5617.8073
2025-09-18 19:00:00,4618.33,4618.96,4580.53,4588.4,7064.30385
2025-09-18 20:00:00,4588.4,4605.84,4587.25,4605.22,3895.50418
2025-09-18 21:00:00,4605.22,4605.57,4589.68,4594.54,2063.92836
2025-09-18 22:00:00,4594.54,4601.82,4586.6,4591.12,2902.25438
2025-09-18 23:00:00,4591.12,4592.39,4571.0,4587.4,5904.4488
2025-09-19 00:00:00,4587.4,4612.49,4587.35,4609.25,3961.36731
2025-09-19 01:00:00,4609.25,4621.43,4598.18,4607.08,4280.52301
2025-09-19 02:00:00,4607.08,4615.26,4588.22,4589.15,3090.81455
2025-09-19 03:00:00,4589.15,4601.54,4543.16,4549.85,11634.05017
2025-09-19 04:00:00,4549.85,4559.36,4532.43,4558.09,6556.41363
2025-09-19 05:00:00,4558.09,4558.66,4528.0,4541.14,3691.51798
