timestamp,Open,High,Low,Close,Volume
2025-09-17 15:00:00,115608.8,115887.9,115527.9,115875.3,351.710248
2025-09-17 16:00:00,115875.3,115875.3,115371.5,115642.3,326.789216
2025-09-17 17:00:00,115642.3,116287.5,115451.3,115501.5,524.141184
2025-09-17 18:00:00,115501.5,116329.6,114728.6,115239.4,2183.881851
2025-09-17 19:00:00,115239.4,116000.0,115089.4,115652.4,966.712645
2025-09-17 20:00:00,115652.4,116142.0,115500.1,115620.1,286.213225
2025-09-17 21:00:00,115620.1,116120.7,115318.0,116040.9,206.095125
2025-09-17 22:00:00,116040.9,116816.4,116038.8,116565.3,389.014708
2025-09-17 23:00:00,116565.3,116991.0,116325.1,116443.3,458.52052
2025-09-18 00:00:00,116443.3,116469.2,116094.5,116343.5,322.064674
2025-09-18 01:00:00,116343.5,116869.9,116334.9,116637.2,287.046635
2025-09-18 02:00:00,116637.2,116954.6,116428.4,116944.2,254.382856
2025-09-18 03:00:00,116944.2,117900.0,116896.0,117582.0,928.752849
2025-09-18 04:00:00,117582.0,117758.1,117236.1,117596.7,577.898532
2025-09-18 05:00:00,117596.7,117597.0,117180.4,117270.2,207.417639
2025-09-18 06:00:00,117270.2,117330.1,116896.0,117098.7,314.404711
2025-09-18 07:00:00,117098.7,117259.5,117038.7,117070.1,312.808005
2025-09-18 08:00:00,117070.1,117408.3,117001.0,117228.2,226.789714
2025-09-18 09:00:00,117228.2,117351.2,117108.2,117300.2,229.799631
2025-09-18 10:00:00,117300.2,117304.2,117072.1,117185.2,221.75925
2025-09-18 11:00:00,117185.2,117302.4,117008.3,117066.9,210.305906
2025-09-18 12:00:00,117066.9,117285.5,116966.1,117123.7,287.353678
2025-09-18 13:00:00,117123.7,117666.4,116990.0,117420.6,589.726662
2025-09-18 14:00:00,117420.6,117846.9,117389.8,117636.4,663.250384
2025-09-18 15:00:00,117636.4,117707.8,117326.2,117587.0,428.788213
2025-09-18 16:00:00,117587.0,117809.7,117495.0,117563.1,372.212669
2025-09-18 17:00:00,117563.1,117772.4,117418.2,117589.9,327.227421
2025-09-18 18:00:00,117589.9,117911.7,117513.8,117819.9,314.362738
2025-09-18 19:00:00,117819.9,117820.0,117187.6,117454.5,259.505599
2025-09-18 20:00:00,117454.5,117662.6,117335.2,117511.8,175.56791
