status,filename,category,subcategory,style,color_scheme,model,title,tags,prompt,file_size_mb
success,stock_0050_geometric_art_deco.jpg,geometric,art deco,flat vector,pastel,recraft-v3,ArtDeco FlatVector Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; art; deco; geometric; flat; vector; pastel,"Seamless tileable pattern of Art deco geometric pattern with golden lines, fan shapes, and symmetrical arches, flat vector style, clean lines, modern design, vector illustration, pastel pink, mint green, soft yellow, lavender, white background, high quality, repeating pattern design",5.5
success,stock_0051_geometric_art_deco.jpg,geometric,art deco,flat vector,navy gold,recraft-v3,ArtDeco FlatVector Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; art; deco; geometric; flat; vector; navy; gold,"Seamless tileable pattern of Art deco geometric pattern with golden lines, fan shapes, and symmetrical arches, flat vector style, clean lines, modern design, vector illustration, navy blue, gold, white, dark blue, white background, high quality, repeating pattern design",6.9
success,stock_0052_geometric_art_deco.jpg,geometric,art deco,flat vector,earth tones,recraft-v3,ArtDeco FlatVector Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; art; deco; geometric; flat; vector; earth; tones,"Seamless tileable pattern of Art deco geometric pattern with golden lines, fan shapes, and symmetrical arches, flat vector style, clean lines, modern design, vector illustration, earth tones, terracotta, sage green, brown, beige, white background, high quality, repeating pattern design",8.9
success,stock_0053_geometric_art_deco.jpg,geometric,art deco,flat vector,monochrome,recraft-v3,ArtDeco FlatVector Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; art; deco; geometric; flat; vector; monochrome,"Seamless tileable pattern of Art deco geometric pattern with golden lines, fan shapes, and symmetrical arches, flat vector style, clean lines, modern design, vector illustration, monochrome, black, white, gray, charcoal, white background, high quality, repeating pattern design",8.8
success,stock_0054_geometric_art_deco.jpg,geometric,art deco,flat vector,warm sunset,recraft-v3,ArtDeco FlatVector Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; art; deco; geometric; flat; vector; warm; sunset,"Seamless tileable pattern of Art deco geometric pattern with golden lines, fan shapes, and symmetrical arches, flat vector style, clean lines, modern design, vector illustration, warm sunset colors, coral, orange, peach, amber, white background, high quality, repeating pattern design",6.6
success,stock_0055_geometric_art_deco.jpg,geometric,art deco,flat vector,cool ocean,recraft-v3,ArtDeco FlatVector Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; art; deco; geometric; flat; vector; cool; ocean,"Seamless tileable pattern of Art deco geometric pattern with golden lines, fan shapes, and symmetrical arches, flat vector style, clean lines, modern design, vector illustration, cool ocean tones, teal, aqua, navy, seafoam, white background, high quality, repeating pattern design",7.8
success,stock_0056_geometric_art_deco.jpg,geometric,art deco,watercolor,pastel,recraft-v3,ArtDeco Watercolor Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; art; deco; geometric; watercolor; pastel,"Seamless tileable pattern of Art deco geometric pattern with golden lines, fan shapes, and symmetrical arches, watercolor painting style, soft brushstrokes, artistic texture, pastel pink, mint green, soft yellow, lavender, white background, high quality, repeating pattern design",7.0
success,stock_0057_geometric_art_deco.jpg,geometric,art deco,watercolor,navy gold,recraft-v3,ArtDeco Watercolor Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; art; deco; geometric; watercolor; navy; gold,"Seamless tileable pattern of Art deco geometric pattern with golden lines, fan shapes, and symmetrical arches, watercolor painting style, soft brushstrokes, artistic texture, navy blue, gold, white, dark blue, white background, high quality, repeating pattern design",7.6
success,stock_0058_geometric_art_deco.jpg,geometric,art deco,watercolor,earth tones,recraft-v3,ArtDeco Watercolor Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; art; deco; geometric; watercolor; earth; tones,"Seamless tileable pattern of Art deco geometric pattern with golden lines, fan shapes, and symmetrical arches, watercolor painting style, soft brushstrokes, artistic texture, earth tones, terracotta, sage green, brown, beige, white background, high quality, repeating pattern design",7.5
success,stock_0059_geometric_art_deco.jpg,geometric,art deco,watercolor,monochrome,recraft-v3,ArtDeco Watercolor Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; art; deco; geometric; watercolor; monochrome,"Seamless tileable pattern of Art deco geometric pattern with golden lines, fan shapes, and symmetrical arches, watercolor painting style, soft brushstrokes, artistic texture, monochrome, black, white, gray, charcoal, white background, high quality, repeating pattern design",7.9
