status,filename,category,subcategory,style,color_scheme,model,title,tags,prompt,file_size_mb
success,stock_0450_nature_autumn_leaves.jpg,nature,autumn leaves,flat vector,warm sunset,recraft-v3,AutumnLeaves FlatVector Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; autumn; leaves; nature; flat; vector; warm; sunset,"Seamless tileable pattern of Falling autumn leaves pattern with maple, oak, and birch leaves, flat vector style, clean lines, modern design, vector illustration, warm sunset colors, coral, orange, peach, amber, white background, high quality, repeating pattern design",4.9
success,stock_0451_nature_autumn_leaves.jpg,nature,autumn leaves,flat vector,cool ocean,recraft-v3,AutumnLeaves FlatVector Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; autumn; leaves; nature; flat; vector; cool; ocean,"Seamless tileable pattern of Falling autumn leaves pattern with maple, oak, and birch leaves, flat vector style, clean lines, modern design, vector illustration, cool ocean tones, teal, aqua, navy, seafoam, white background, high quality, repeating pattern design",4.7
success,stock_0452_nature_autumn_leaves.jpg,nature,autumn leaves,watercolor,pastel,recraft-v3,AutumnLeaves Watercolor Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; autumn; leaves; nature; watercolor; pastel,"Seamless tileable pattern of Falling autumn leaves pattern with maple, oak, and birch leaves, watercolor painting style, soft brushstrokes, artistic texture, pastel pink, mint green, soft yellow, lavender, white background, high quality, repeating pattern design",4.3
success,stock_0453_nature_autumn_leaves.jpg,nature,autumn leaves,watercolor,navy gold,recraft-v3,AutumnLeaves Watercolor Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; autumn; leaves; nature; watercolor; navy; gold,"Seamless tileable pattern of Falling autumn leaves pattern with maple, oak, and birch leaves, watercolor painting style, soft brushstrokes, artistic texture, navy blue, gold, white, dark blue, white background, high quality, repeating pattern design",5.3
success,stock_0454_nature_autumn_leaves.jpg,nature,autumn leaves,watercolor,earth tones,recraft-v3,AutumnLeaves Watercolor Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; autumn; leaves; nature; watercolor; earth; tones,"Seamless tileable pattern of Falling autumn leaves pattern with maple, oak, and birch leaves, watercolor painting style, soft brushstrokes, artistic texture, earth tones, terracotta, sage green, brown, beige, white background, high quality, repeating pattern design",4.8
success,stock_0455_nature_autumn_leaves.jpg,nature,autumn leaves,watercolor,monochrome,recraft-v3,AutumnLeaves Watercolor Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; autumn; leaves; nature; watercolor; monochrome,"Seamless tileable pattern of Falling autumn leaves pattern with maple, oak, and birch leaves, watercolor painting style, soft brushstrokes, artistic texture, monochrome, black, white, gray, charcoal, white background, high quality, repeating pattern design",4.2
success,stock_0456_nature_autumn_leaves.jpg,nature,autumn leaves,watercolor,warm sunset,recraft-v3,AutumnLeaves Watercolor Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; autumn; leaves; nature; watercolor; warm; sunset,"Seamless tileable pattern of Falling autumn leaves pattern with maple, oak, and birch leaves, watercolor painting style, soft brushstrokes, artistic texture, warm sunset colors, coral, orange, peach, amber, white background, high quality, repeating pattern design",5.0
success,stock_0457_nature_autumn_leaves.jpg,nature,autumn leaves,watercolor,cool ocean,recraft-v3,AutumnLeaves Watercolor Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; autumn; leaves; nature; watercolor; cool; ocean,"Seamless tileable pattern of Falling autumn leaves pattern with maple, oak, and birch leaves, watercolor painting style, soft brushstrokes, artistic texture, cool ocean tones, teal, aqua, navy, seafoam, white background, high quality, repeating pattern design",5.1
success,stock_0458_nature_autumn_leaves.jpg,nature,autumn leaves,hand-drawn,pastel,recraft-v3,AutumnLeaves Hand-Drawn Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; autumn; leaves; nature; hand-drawn; pastel,"Seamless tileable pattern of Falling autumn leaves pattern with maple, oak, and birch leaves, hand-drawn sketch style, ink line art, organic freehand illustration, pastel pink, mint green, soft yellow, lavender, white background, high quality, repeating pattern design",6.3
success,stock_0459_nature_autumn_leaves.jpg,nature,autumn leaves,hand-drawn,navy gold,recraft-v3,AutumnLeaves Hand-Drawn Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; autumn; leaves; nature; hand-drawn; navy; gold,"Seamless tileable pattern of Falling autumn leaves pattern with maple, oak, and birch leaves, hand-drawn sketch style, ink line art, organic freehand illustration, navy blue, gold, white, dark blue, white background, high quality, repeating pattern design",6.4
success,stock_0460_nature_autumn_leaves.jpg,nature,autumn leaves,hand-drawn,earth tones,recraft-v3,AutumnLeaves Hand-Drawn Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; autumn; leaves; nature; hand-drawn; earth; tones,"Seamless tileable pattern of Falling autumn leaves pattern with maple, oak, and birch leaves, hand-drawn sketch style, ink line art, organic freehand illustration, earth tones, terracotta, sage green, brown, beige, white background, high quality, repeating pattern design",6.6
success,stock_0461_nature_autumn_leaves.jpg,nature,autumn leaves,hand-drawn,monochrome,recraft-v3,AutumnLeaves Hand-Drawn Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; autumn; leaves; nature; hand-drawn; monochrome,"Seamless tileable pattern of Falling autumn leaves pattern with maple, oak, and birch leaves, hand-drawn sketch style, ink line art, organic freehand illustration, monochrome, black, white, gray, charcoal, white background, high quality, repeating pattern design",5.3
success,stock_0462_nature_autumn_leaves.jpg,nature,autumn leaves,hand-drawn,warm sunset,recraft-v3,AutumnLeaves Hand-Drawn Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; autumn; leaves; nature; hand-drawn; warm; sunset,"Seamless tileable pattern of Falling autumn leaves pattern with maple, oak, and birch leaves, hand-drawn sketch style, ink line art, organic freehand illustration, warm sunset colors, coral, orange, peach, amber, white background, high quality, repeating pattern design",7.2
success,stock_0463_nature_autumn_leaves.jpg,nature,autumn leaves,hand-drawn,cool ocean,recraft-v3,AutumnLeaves Hand-Drawn Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; autumn; leaves; nature; hand-drawn; cool; ocean,"Seamless tileable pattern of Falling autumn leaves pattern with maple, oak, and birch leaves, hand-drawn sketch style, ink line art, organic freehand illustration, cool ocean tones, teal, aqua, navy, seafoam, white background, high quality, repeating pattern design",7.1
success,stock_0464_nature_snowflakes.jpg,nature,snowflakes,flat vector,pastel,recraft-v3,Snowflakes FlatVector Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; snowflakes; nature; flat; vector; pastel,"Seamless tileable pattern of Delicate snowflake crystal pattern with intricate ice designs, flat vector style, clean lines, modern design, vector illustration, pastel pink, mint green, soft yellow, lavender, white background, high quality, repeating pattern design",4.9
success,stock_0465_nature_snowflakes.jpg,nature,snowflakes,flat vector,navy gold,recraft-v3,Snowflakes FlatVector Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; snowflakes; nature; flat; vector; navy; gold,"Seamless tileable pattern of Delicate snowflake crystal pattern with intricate ice designs, flat vector style, clean lines, modern design, vector illustration, navy blue, gold, white, dark blue, white background, high quality, repeating pattern design",5.6
success,stock_0466_nature_snowflakes.jpg,nature,snowflakes,flat vector,earth tones,recraft-v3,Snowflakes FlatVector Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; snowflakes; nature; flat; vector; earth; tones,"Seamless tileable pattern of Delicate snowflake crystal pattern with intricate ice designs, flat vector style, clean lines, modern design, vector illustration, earth tones, terracotta, sage green, brown, beige, white background, high quality, repeating pattern design",5.3
success,stock_0467_nature_snowflakes.jpg,nature,snowflakes,flat vector,monochrome,recraft-v3,Snowflakes FlatVector Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; snowflakes; nature; flat; vector; monochrome,"Seamless tileable pattern of Delicate snowflake crystal pattern with intricate ice designs, flat vector style, clean lines, modern design, vector illustration, monochrome, black, white, gray, charcoal, white background, high quality, repeating pattern design",5.5
success,stock_0468_nature_snowflakes.jpg,nature,snowflakes,flat vector,warm sunset,recraft-v3,Snowflakes FlatVector Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; snowflakes; nature; flat; vector; warm; sunset,"Seamless tileable pattern of Delicate snowflake crystal pattern with intricate ice designs, flat vector style, clean lines, modern design, vector illustration, warm sunset colors, coral, orange, peach, amber, white background, high quality, repeating pattern design",5.9
