status,filename,category,subcategory,style,color_scheme,model,title,tags,prompt,file_size_mb
success,stock_0183_botanical_eucalyptus.jpg,botanical,eucalyptus,watercolor,navy gold,recraft-v3,Eucalyptus Watercolor Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; eucalyptus; botanical; watercolor; navy; gold,"Seamless tileable pattern of Eucalyptus branches and leaves pattern with silver-green foliage, watercolor painting style, soft brushstrokes, artistic texture, navy blue, gold, white, dark blue, white background, high quality, repeating pattern design",5.7
success,stock_0184_botanical_eucalyptus.jpg,botanical,eucalyptus,watercolor,earth tones,recraft-v3,Eucalyptus Watercolor Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; eucalyptus; botanical; watercolor; earth; tones,"Seamless tileable pattern of Eucalyptus branches and leaves pattern with silver-green foliage, watercolor painting style, soft brushstrokes, artistic texture, earth tones, terracotta, sage green, brown, beige, white background, high quality, repeating pattern design",5.7
success,stock_0185_botanical_eucalyptus.jpg,botanical,eucalyptus,watercolor,monochrome,recraft-v3,Eucalyptus Watercolor Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; eucalyptus; botanical; watercolor; monochrome,"Seamless tileable pattern of Eucalyptus branches and leaves pattern with silver-green foliage, watercolor painting style, soft brushstrokes, artistic texture, monochrome, black, white, gray, charcoal, white background, high quality, repeating pattern design",5.4
success,stock_0186_botanical_eucalyptus.jpg,botanical,eucalyptus,watercolor,warm sunset,recraft-v3,Eucalyptus Watercolor Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; eucalyptus; botanical; watercolor; warm; sunset,"Seamless tileable pattern of Eucalyptus branches and leaves pattern with silver-green foliage, watercolor painting style, soft brushstrokes, artistic texture, warm sunset colors, coral, orange, peach, amber, white background, high quality, repeating pattern design",6.0
success,stock_0187_botanical_eucalyptus.jpg,botanical,eucalyptus,watercolor,cool ocean,recraft-v3,Eucalyptus Watercolor Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; eucalyptus; botanical; watercolor; cool; ocean,"Seamless tileable pattern of Eucalyptus branches and leaves pattern with silver-green foliage, watercolor painting style, soft brushstrokes, artistic texture, cool ocean tones, teal, aqua, navy, seafoam, white background, high quality, repeating pattern design",5.3
success,stock_0188_botanical_eucalyptus.jpg,botanical,eucalyptus,hand-drawn,pastel,recraft-v3,Eucalyptus Hand-Drawn Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; eucalyptus; botanical; hand-drawn; pastel,"Seamless tileable pattern of Eucalyptus branches and leaves pattern with silver-green foliage, hand-drawn sketch style, ink line art, organic freehand illustration, pastel pink, mint green, soft yellow, lavender, white background, high quality, repeating pattern design",5.1
success,stock_0189_botanical_eucalyptus.jpg,botanical,eucalyptus,hand-drawn,navy gold,recraft-v3,Eucalyptus Hand-Drawn Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; eucalyptus; botanical; hand-drawn; navy; gold,"Seamless tileable pattern of Eucalyptus branches and leaves pattern with silver-green foliage, hand-drawn sketch style, ink line art, organic freehand illustration, navy blue, gold, white, dark blue, white background, high quality, repeating pattern design",6.4
success,stock_0190_botanical_eucalyptus.jpg,botanical,eucalyptus,hand-drawn,earth tones,recraft-v3,Eucalyptus Hand-Drawn Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; eucalyptus; botanical; hand-drawn; earth; tones,"Seamless tileable pattern of Eucalyptus branches and leaves pattern with silver-green foliage, hand-drawn sketch style, ink line art, organic freehand illustration, earth tones, terracotta, sage green, brown, beige, white background, high quality, repeating pattern design",5.5
success,stock_0191_botanical_eucalyptus.jpg,botanical,eucalyptus,hand-drawn,monochrome,recraft-v3,Eucalyptus Hand-Drawn Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; eucalyptus; botanical; hand-drawn; monochrome,"Seamless tileable pattern of Eucalyptus branches and leaves pattern with silver-green foliage, hand-drawn sketch style, ink line art, organic freehand illustration, monochrome, black, white, gray, charcoal, white background, high quality, repeating pattern design",5.4
success,stock_0192_botanical_eucalyptus.jpg,botanical,eucalyptus,hand-drawn,warm sunset,recraft-v3,Eucalyptus Hand-Drawn Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; eucalyptus; botanical; hand-drawn; warm; sunset,"Seamless tileable pattern of Eucalyptus branches and leaves pattern with silver-green foliage, hand-drawn sketch style, ink line art, organic freehand illustration, warm sunset colors, coral, orange, peach, amber, white background, high quality, repeating pattern design",5.5
